FROZEN | Written by Adam Green January 28, 2009
DAN | I'm tough.
D | Finally, Parker comes to a stop on her own next to Dan and he claps for her.
DAN | 
E | Look at you! See? Having fun?
PARKER | Are you kidding? We are totally doing this every weekend. In fact, if they were open during the week I'd say we should cut class, too. Lynch suddenly flies over the hill and sprays both of them down with powder.
LYNCH | Last one to the bottom is buying dinner! He eats it mere seconds later and lands on his ass.
17. | Parker and Dan take off laughing while Lynch feebly tries to get back on his feet.
10   INT. SKI LODGE - EARLY EVENING                            10 | Parker gets herself some hot chocolate in the distance while
X | Dan and Lynch pick at what's left of a pizza on the table in front of them.
DAN | We gotta take a weekend trip up
R | North one of these days. Hit up Killington or Okemo and really do it up right.
LYNCH | 
A | Why don't we just do it over Christmas. You and me.
DAN | Done. When I stayed with my cousin out West two years ago it was like
M | the stuff you see in commercials. We had to take like 3 lifts to get to the top and it was powder as far as you could see.
LYNCH | Well, speaking of good skiing... it's been cool doing the bunny hill
D | all day but do you think we could get one real run in before we leave tonight? Dan feels bad.
LYNCH | No, it's fine. I'm just saying let's step it up a notch at some point. It's been cool watching Parker fall on her ass all day but I would like to actually ski at some point.
18. | Parker feels horrible.
PARKER | You know, I've probably had enough for today anyway. I can just stay in the lodge if you guys want to go-
X | Now Lynch feels horrible.
LYNCH | -no, no, no that's not what I meant. I didn't mean it like that.
R | Parker looks to Dan.
PARKER | I told you I didn't have to come.
LYNCH | Exactly. Remember? I was like "Hey man, why doesn't Parker come
D | with us?" And you were like-
DAN | -I was like, "OK that would be cool".
E | Parker isn't buying it. She puts on a smile.
PARKER | It's OK, you guys. The last thing a girl wants to do is intrude on "guy time". I won't be offended. I've got stuff I could do anyway. (to Dan) Actually, can I have the key? I should check my messages.
19. | 
DAN | No. No locker key. I can tell you right now that every message on there is going to be from your Mom giving you more aggravation about whatever the hell.
X | Parker laughs.
PARKER | She does not.
R | Dan looks to Lynch.
DAN | Ready for this? Two nights ago we were watching a movie and her Mom
A | kept calling and calling. (to Parker) And what did she want?Parker laughs.
M | DAN (cont'd) She wanted to know if we wanted to have chicken soup or vegetable soup with Christmas dinner. Christmas dinner! Four weeks away, and she had to now right then and there what kind of soup we'd prefer.
DAN | 
E | Hell yes, I said chicken, but that's not the point. (to Parker) The point is you can go a few more hours without hearing from Annette.Parker looks to Lynch.
PARKER | I'm sorry if I ruined skiing for you today.
20. | 
LYNCH | You didn't! You didn't at all! You missed the part before you walked over here when I was all like, "Dude, this has been so cool...you know...doing..."
X | Parker and Dan are beaming at him. He knows he's beat. LYNCH (cont'd) (frustrated) What?
A | From their POV the chair lift is still moving but the line is empty. They start to move to the empty lift line when...
LYNCH | (to his friends) Wait up. Lynch walks over to Shannon while Dan and Parker move towards
D | the lift line.
SHANNON | Hey. I just wanted to apologize again.
SHANNON | Ex. He's my ex-boyfriend. We're, you know, trying to still be friends and everything but as you can see, that's not really gonna work.
LYNCH | (teasing) No way.
21. | 
SHANNON | A group of us all agreed to go skiing this weekend and well, whatever. It's a whole story and-She looks over at Dan and Parker.
X | SHANNON (cont'd) -I don't want to hold you up. But that was just really embarrassing. So I just wanted to say sorry. (then)
R | Are you gonna be here next weekend?
LYNCH | Where, here? Yeah, probably, yes.
LYNCH | 
M | That would be...a nice time.
SHANNON | OK. See ya later.She turns and starts walking away.Lynch walks away. He gets a few steps and then turns back
D | and jogs after Shannon again.
LYNCH | Actually, you know what? Would it be cool if I got your number or
E | something? That way I'll...know how to catch up with you and stuff.
SHANNON | Yeah, sure.Lynch pats his pockets.
LYNCH | Shit. Don't ski with my phone. It's in the locker with everyone else's stuff. Do you have a pen?She laughs and shakes her head no.
SHANNON | Don't ski with a pen. Sorry.
22. | 
LYNCH | Just shoot then. I've got a really good memory. I've only smoked pot like 500 times so I'm good. Shannon gets serious.
R | SHANNON (cont'd) Kidding.
LYNCH | Whew. You! That's so like you!
M | He puts a red flag on the back of a chair that heads up the mountain.
DAN | But we gave you a hundred bucks and we've only gotten like 4 runs!
DAN | 
E | You're only open three days a week. You can't afford to close early.
JASON | Why don't you write a letter? Lynch pushes himself up behind them.
LYNCH | (to Dan) Remember "429".
DAN | What?
23. | 
LYNCH | Just remember "429". (to himself)
"5022". "5022." "5022." | 
PARKER | (to Jason)
X | Come on, just one more run.
JASON | Sorry.
PARKER | What if we promise to run straight
D | down. Like the quickest run ever.
DAN | Wicked fast.
E | Jason struggles. He sighs and looks around. There are stillplenty of skiers coming down.
JASON | Fine. But hurry.
DAN                              PARKER | Thank you! Thank you so much!
DAN | We'll be wicked fast. Like the wind!Jason sends them up the lift. He checks to make sure no oneis watching.
24. | 
13   EXT. CHAIR LIFT    - MOMENTS LATER                        13 | Parker, Dan, and Lynch slowly move up the mountain yet again.
LYNCH | Seriously. For a hundred bucks
X | you'd think he could cut us some slack.
DAN | I know right? They're supposed to
R | stay open until 10 on Sundays. Whatever happened to night skiing?
LYNCH | Wachusett still has night skiing.
A | We should have gone there. It's kinda like Ward Hill but not as lame. (then) Hey, you remember the numbers I told you?
"429". | 
PARKER | Good for you, Lynch. You got her number!
LYNCH | 
E | That guy? Who cares? Steroids shrink your dick. (then) Wait, shit. What were my four numbers? "5022". Parker, will you remember "5022"?
PARKER | Nope.
14   EXT. CHAIR LIFT LINE - CONTINUOUS                         14 | Jason reaches for his cigarettes. He's all out. Disappointed he tosses the empty pack in the trash.
25. | A fellow employee (RIFKIN) approaches.
RIFKIN | Early night, huh?
JASON | You're not gonna hear me complain.
A | JASON (cont'd) Oh, come on. It's my brother's bachelor party. I put in for it two months ago.
JASON | I'm the best man! (under his breath) Shit.
D | Rifkin takes his place.
RIFKIN | Ready to shut down?
E | As Jason runs away he turns back.
JASON | There's three more on their way down. Wait for them, then it's all set.
15   EXT. CHAIR LIFT - CONTINUOUS                              15 | The three continue to talk.
PARKER | I'm not waiting til we get back to campus to eat. I'm starving.
26. | 
DAN | Why didn't you have some pizza?
PARKER | You mean the cardboard with tomato sauce that you guys ate? That wasn't pizza. That was like,
X | `roller skating rink birthday party pizza'.
LYNCH | There's a Papa Gino's on our way
R | back. It's like 15 minutes down the road from the mountain.
PARKER | Sweet. I am gonna eat a whole real
A | pizza myself.Dan spies something.
DAN | Check it out!
M | They look down to see THREE SKIERS hit a huge jump, one afterthe other. DAN (cont'd) We are so hitting that jump.
LYNCH | 
D | Last run. Gotta make it count.The wind blows the chair really hard.Parker holds on.
DAN | It's just wind, Parker.
LYNCH | Don't you mean, "baby"?Parker starts laughing.
DAN | (to Lynch) Who invited you?
27. | 
16   EXT. CHAIR LIFT LINE - MOMENTS LATER                           16 | Rifkin warms his hands with his breath. The temperature is dropping fast. He checks his watch, dancing back and forth.
X | HEYMAN (another employee) runs by him on his way to the lodge.
RIFKIN | 
R | Heyman! HEY, HEYMAN! Do me a solid? Heyman looks back him. His face already says "no."
A | RIFKIN (cont'd) I've gotta piss so bad I can taste it. Can you just take over for 2 minutes? Heyman points to his ears as if he can't hear what Rifkin is
M | saying to him. He keeps running. RIFKIN (cont'd) Asshole.
17   EXT. CHAIR LIFT - CONTINUOUS                                   17 | 
D | A low, distant thunder roll echoes far away.
PARKER | Shit. Do you hear that?
PARKER | Seriously. I'm gonna eat a whole pizza. (a few beats) I'm not even kidding.
28. | 
18   EXT. CHAIR LIFT LINE - MOMENTS LATER                      18 | Rifkin kicks his feet around. He spies Jason's discarded cigarette box on the top of the trash and he inspects it for any left over cigarettes.
X | Nothing. He sighs. Just then, the three skiers that we saw taking the jump a few
R | minutes earlier come flying down the mountain and past him. A voice from the top lift cuts through the radio.
VOICE (O.S.) | 
A | Last chair is through. Rifkin picks up the radio and calls the top of the mountain.
RIFKIN | Cool. Last three just hit. I'm
M | clear.
VOICE (O.C.) | Clear up here. He hangs up and moves over to the lever. Tight on the lever as he pulls it back towards him.
E | white noise of the motorized cables goes away, leaving them in silence. The wind blows hard against them.
DAN | Oh, come on. Parker instinctively grabs his hand. The cold bites through their layers of clothing.
PARKER | Bur!
29. | 
LYNCH | (yelling to the sky)
DAN | (quickly)
R | Yes. (then) Anyone got any jokes?
LYNCH | 
A | What did the fourteen year old girl from New Hampshire say to her father when she lost her virginity?
DAN | "Get off me, you're crushing my
M | Marlboros". Beat.
LYNCH | I told you that?
CUT TO: | 
E | light of converging white strings. Even in this darkness, the menacing clouds are visible over the trees.
CUT TO: | 
21   EXT. CHAIR LIFT - CONTINUOUS                                 21 | The three sit in the freezing chair. Lynch is really getting impatient.
DAN | What do you think the worst way to die would be?
30. | 
PARKER | That's not morbid.
LYNCH | Yeah, seriously. That's kinda spooky, Dan.
R | surfers where they get hit from behind and they don't even know what happened. (beat) You know. Cause it like came up
A | from beneath them. (beat) Like on the Jaws poster.
LYNCH | The chick on the Jaws poster was
M | hot.
PARKER | She was?
LYNCH | I don't know. She was naked. Naked chicks are hot.
E | getting eaten. Knowing that this animal is coming for you but you can't get away. And that it's going to eat you. Like you're gonna get eaten alive? Have you guys ever seen that footage of the great white jumping out of the water to eat that seal?
LYNCH | That's why I only swim in pools.
PARKER | I think burning to death would be the worst.
31. | 
LYNCH | Well yes and no. Because most people die of the smoke inhalation before any fire even hits them.
PARKER | I remember watching TV for like 3
X | days straight after 9/11. That footage that they kept showing of all of those people leaping off of the top of the Trade Center? Can you imagine how bad it was inside
R | to know that jumping was a better way out?
LYNCH | But they say that when you jump
A | from that high up your heart stops before you hit the ground and you don't even feel it.
PARKER | OK, then Lynch. What is the worst
M | way to die?
LYNCH | (defensive) What?
PARKER | No, you have an answer for
D | everything. What's your biggest fear?Lynch has been waiting for this.
PARKER | The what?
LYNCH | The Sarlaac pit. From Return of the Jedi? Hel-lo...being slowly digested over 1,000 years? Worst. Death. Ever.
DAN | (teasing) "I don't know why I never have a girlfriend, you guys!"
32. | 
LYNCH | Shut-up. The wind starts blowing again and Parker nestles close to Dan.
PARKER | 
X | Why hasn't it started again?
DAN | Give it a minute.
A | twisted her leg. It was like- "move her to the side and keep the line going people". But no. They had to stop and celebrate it right there and we all had to-
M | BOOM. The lights go out.
A21   EXT. MOUNT HOLLISTON - CONTINUOUS                           A21 | Across the mountain all of the trail lights go out, one by one.
E | At first no one can speak. Dan reacts first.
DAN | (yelling)
WHAT THE FUCK??!    HELLO???!!!! | 
LYNCH | Come on now! This is messed up.
HELLO!!!! | Dan tries to laugh in frustration.
33. | 
DAN | Are they fucking kidding?
LYNCH | I kind of just shat in my pants a bit, I'm not gonna lie.
HE-LLO!!!!!!!!!!!???? | Parker is starting to shake.
M | He starts waving around his hands. DAN (cont'd)
PARKER | What if they don't start it again?
D | What if everyone went home?
DAN | (angered out of panic) Will you stop?!
E | (recovering) They didn't go home. Stop freaking me out. (then) Remind me to knock down that fucking lift operator when we get down. This is horse shit.
LYNCH | What did you say to the guy?
DAN | Me? Nothing!
LYNCH | Well, clearly you pissed him off enough to do this.
34. | 
DAN | I didn't do anything! He knows we're still up here.
PARKER | Then why are the lights off, Dan? Is that part of their policy? Shut
X | off the lights and scare the customers?
DAN | They just lost power or something.
R | I'm sure it's gonna come back on any second. (then) They didn't go home. That's retarded.
A | After a few more moments.
LYNCH | This is so messed up.
PARKER | 
D | We need to get down from here. We can't just sit up here. Why isn't the goddamn chair moving, Dan? What the hell?!
PARKER | Don't yell at me.
DAN | I wasn't yelling at you but you need to relax. This stuff happens all the time. Can you imagine the law suit if they left everyone on this lift up here all night?
35. | 
LYNCH | Free lift tickets.
PARKER | What other people on the lift? There was no one in front of us.
X | She made a good point. But still...
DAN | We won't be stuck here all night.
A | open again until Friday. (sobbing) We'll be stuck here all week.Silence as Dan and Lynch take this in.
M | PARKER (cont'd) We're gonna die up here.Lynch tries to be the voice of reason.
LYNCH | We're not going to be stuck here. Parker. Parker, look at me. Even
D | if by some strange reason they really did forget us up here- we can jump. I see people jump off of chair lifts all the time.
PARKER | (hysterical)
36. | 
DAN | Shh. I know you're scared. I'm scared, too. But any minute now they're gonna turn the power back on and we're all gonna be laughing about this.
X | More moments pass in silence as they survey their situation.Finally...
PARKER | 
R | I have to pee.They all share an uncomfortable laugh. PARKER (cont'd)
A | I have to pee wicked bad.
LYNCH | That makes two of us.
PARKER | 
M | Ew, Lynch if you pull out your junk in front of me I'm gonna puke.
LYNCH | Well, what do you want me to do? I gotta go.
PARKER | 
D | How am I supposed to go?Dan moves the safety bar a little.
DAN | 
E | Well if we just lift the bar up you could probably just bend over if we hold on to you.Parker instantly starts freaking out with the bar up.
PARKER | Are you crazy! Put the bar down!!!
LYNCH | It's just the safety bar. It doesn't really do anything anyway.
PARKER | Well I like the safety bar and I like it down where it's supposed to be.
37. | 
DAN | Then how are you going to piss?
PARKER | I can hold it.
LYNCH | 
X | For a whole week?Dan and Parker glare at him. LYNCH (cont'd)
R | Sorry. (then) She's the one who said we'd be here for "a week"!
A | Parker takes a deep breath.
PARKER | I can hold it.
DAN | 
M | I'm telling you, five minutes from now we'll all be laughing.
LYNCH | I'm pissing.Lynch lifts the safety bar up, whips out his business andstarts to pee off the side of the chair into the snow below
D | them.
DAN | I hope they catch you and throw you out. I hope they ban you from the
E | mountain. That's so nasty.
LYNCH | Ban me from the mountain? You couldn't pay me to come back here. Make me sit up here in below zero weather forever while they get their damn Fisher Price lift working? Sorry. Not coming back.Lynch finishes his business. LYNCH (cont'd) There. Much better.A low thunder clap rolls in across the trees and the chillingwind picks up.
38. | 
X | Almost instantly, giant balls of hail stream down at them. "Ping-ing" off of the metal chair and pelting their faces. The wind blows hard as their flimsy chair swings back and forth in the foul weather.
R | Parker sobs quietly into Dan's shoulder.
DAN | (quietly) Put the safety bar down, Joe.
SOMEBODY PLEASE HELP US! | 
DAN | (louder) Put the bar down.
LYNCH | 
E | Lynch pulls the bar down and sulks, looking away from Dan. The hail/sleet mixture keeps pelting against their skin as they sit together in silence. Another loud thunder clap hits. This time, much closer.
CUT TO: | 
22   EXT. MOUNT HOLLISTON - MOMENTS LATER                          22 | The sleet begins to ice over the leaves and vegetation below. Ski tracks fill in with the wet rain.
23   EXT. MOUNT HOLLISTON - MOMENTS LATER, WIDER                  23 | The entire mountain is covered in dark clouds.
CUT TO: | 
R | Suddenly, a beam of light begins to shine up at them. Dan's head snaps up.
25   EXT. MOUNT HOLLISTON - CONTINUOUS                            25 | A Snow Cat slowly makes it's way down the hill towards the
M | bottom. It's headlights shine across the trees in front of it.
CUT TO: | 
26   EXT. CHAIR LIFT - CONTINUOUS                                 26 | 
D | Dan begins to cheer.
DAN | What did I tell you guys, huh? WOO-
HOO! UP HERE! | 
CUT TO: | 
27   EXT. MOUNT HOLLISTON - CONTINUOUS                            27 | The Snow Cat is now really close. It is literally coming right for them.
28   EXT. CHAIR LIFT - CONTINUOUS                                 28 | Dan and Parker wave their hands in the rain.
HELLO! | 
CUT TO: | 
A | look like it's going to stop.
CUT TO: | 
30   EXT. CHAIR LIFT - CONTINUOUS                                 30 | 
M | Panic sets in yet again.
PARKER | Why isn't he stopping?
31   INT. SNOW CAT - CONTINUOUS                                   31 | 
E | STEVE (the driver) concentrates on the path. The roar of his engine is almost deafening. His radio chimes in.
VOICE (O.C.) | Steve. Steve picks up his radio.
STEVE | Go for Steve.
41. | 
VOICE (O.S.) | We got a problem here.
CUT TO: | 
32   EXT. CHAIR LIFT - CONTINUOUS                                32 | 
X | Below them, the Snow Cat slows down to a halt. The three kids cheer.
THANK YOU! / WOO! / YES!! | 
CUT TO: | 
VOICE (O.C.) | 
M | It's nothing but ice at the bottom of Wildcat so you're gonna have to cut over to the south hill and come around the side.
STEVE | That's gonna take me 20 minutes!
STEVE | 
CUT TO: | 
34   EXT. CHAIR LIFT - CONTINUOUS                                34 | Below them, they see the Snow Cat start to back up and turn to the right.
LYNCH | What is this asshole doing? The Snow Cat switches back into drive.
42. | 
PARKER | No! No! Quickly Dan and Lynch start to ball together the slush on the sides of the chair. They throw them at the Snow Cat, but keep missing by a few
X | inches. Desperately, Lynch throws his goggles at the Snow Cat. They land just shy of the driver's side window.
R | Parker takes off her helmet and throws it down.
CUT TO: | 
M | Though we can briefly see the light shine off of the three kids, unless you knew they were there or were looking for them...you would have missed them, too. As the windshield turns the other way, one of Lynch's skis slams into the ground, just out of the headlight's view.
CUT TO: | 
E | Lynch throws one of his ski poles but doesn't even come close. Parker sobs hysterically.
HARD CUT TO: | 
37   EXT. MOUNT HOLLISTON - LATER                                 37 | It has stopped hailing.
43. | The moon shines down on the mountain. It glistens like a block of ice. Silence.
CUT TO: | 
R | Finally.
PARKER | My face is burning.
PARKER | No it isn't.
D | don't wear a watch.
LYNCH | Me neither. I use my phone. Hold on, let me just run back to the
E | locker real quick and I'll find out. No one laughs at his attempt at "humor". LYNCH (cont'd) OK, top 3 breakfast cereals of all time. Go. Silence. LYNCH (cont'd) I'll go first.
PARKER | Stop.
44. | 
LYNCH | Crunch Berries...
PARKER | Please, stop.
LYNCH | 
X | Apple Jacks...
DAN | Dude, quit it.
A | Silence. LYNCH (cont'd) There's just something weird about eating purple horseshoes, am I right?
M | Silence.
PARKER | Everyone went home. They left us up here.More silence.
45. | Finally, Dan puts an arm around her. DAN (cont'd) Shhh. It's OK.
X | His voice is getting hoarse.
PARKER | (aside to Dan)
R | I don't want to die up here.
DAN | (aside to Parker) You're not gonna die, baby. I
A | won't let you die. OK? I promise I won't let you die.Parker cries.
PARKER | 
M | (aside to Dan) I'm so scared.
DAN | (aside to Parker) It's alright. It's alright.Snow starts to lightly fall around them.
D | DAN (cont'd) Hey. It's snowing.They shiver together.
PARKER | Shayna. My puppy.
DAN | Disneyworld in 8th grade.
46. | 
LYNCH | Hmm...guess that leaves me. I'm gonna go with...oh yeah...these skis! Get it? MY SKIS. How ironic, huh?Silence.
